Channing Tatum 
Robert Hoffman 
Steve Buscemi 
Michael Clarke Duncan 
Clint Eastwood 
Jack Nicholson 
Josh Hartnett 
Stanley Tucci 
Morgan Freeman 
Paul Walker 
Cole Hauser 
Elijah Wood 
Viggo Mortensen 
Robert Patrick 
Brad Pitt 
Tom Hanks 
Neal McDonough 
Matt Dillon 
William Fichtner 
Brendan Fraser 
Michael Biehn 
Rick Rossovich 
Denzel Washington 
Marc Anthony 
Christopher Walken 
Jim Caviezel 
Mel Gibson 
Marlon Wayans 
Quentin Tarantino 
John Travolta 
Samuel L. Jackson
Harvey Keitel 
Michael Douglas 
Johnny Depp 
Jake Gyllenhaal 
Dash Mihok 
Tim Robbins 
William Sadler 
Clancy Brown 
Mark Rolston 
Nicolas Cage 
Ed Harris 
David Morse 
Edward Norton 
Eddie Kaye Thomas 
Tom Cruise 
Skeet Ulrich 
Freddie Prinze Jr. 
David Vadim 
Breckin Meyer 
David Krumholtz 
Will Smith 
Kevin Spacey 
Adrien Brody 
Chris Evans 
Nathan West 
Christian Slater 
Gene Hackman 
Anson Mount 
Wes Bentley 
Giovanni Ribisi 
Robert Duvall 
Will Patton 
Emile Hirsch 
Timothy Olyphant 
Matthew McConaughey 
Wentworth Miller 
Paul Adelstein 
Jon Abrahams 
Brian Geraghty 
Vin Diesel 
Martin Sheen 
Harry Connick Jr. 
Owen Wilson 
Peter Sarsgaard 
Leonardo DiCaprio 
Mike Vogel 
Jonathan Tucker 
Eric Balfour 
Michael Angarano 
Cuba Gooding Jr. 
Fred Durst 
Dustin Hoffman 
Jeff Goldblum 
George Clooney 
Danny Trejo 
Michael Landes 
Jared Leto 
Elden Henson 
William Lee Scott 
Kevin Costner 
Sylvester Stallone 
Norman Reedus 
Kevin Connolly 
Harry Dean Stanton 
Ron Perlman 
Robin Williams 
Robert De Niro 
John Cusack 
Mark Wahlberg 
Shane West 
Francis Capra 
Joseph Gordon-Levitt 
Val Kilmer 
Vince Vaughn 
Billy Burke 
Johnny Knoxville 
Gary Sinise 
Alan Tudyk 
Robert LaSardo 
James Cromwell 
David Strathairn 
Abraham Benrubi 
Dax Shepard 
Ben Affleck 
Matt Damon 
Tom Sizemore 
Kurt Russell 
Josh Hutcherson 
James Franco 
Carmine Giovinazzo 
Jeremy Renner 
Michael Madsen 
Kal Penn 
Mark Pellegrino 
Bill Pullman 
Adam Baldwin 
Logan Lerman 
